domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Logistics-Learned-ECAI-16,probLOGISTICS-04-0,LMCOUNT-update,0.017,56,1185,lmcount,,40,9,1,30,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-04-1,LMCOUNT,0.0156,57,1347,lmcount,,40,9,1,30,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-04-1,LMCOUNT-update,0.0176,57,1146,lmcount,,40,9,1,30,0,,,,,,
Minecraft-Regular,p-5-5-5-07,LMCOUNT,0.0282,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-07,LMCOUNT-update,0.0329,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-09,LMCOUNT,0.0282,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-09,LMCOUNT-update,0.0331,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-004-005-004-005,LMCOUNT,0.0178,77,587,lmcount,,388,269,43,76,0,,,,,,
Minecraft-Regular,p-004-005-004-005,LMCOUNT-update,0.021,77,471,lmcount,,388,269,43,76,0,,,,,,
Minecraft-Regular,p-5-5-5-08,LMCOUNT,0.0286,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-08,LMCOUNT-update,0.0333,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-003-004-004-004,LMCOUNT,0.0113,53,442,lmcount,,289,196,41,52,0,,,,,,
Minecraft-Regular,p-003-004-004-004,LMCOUNT-update,0.0133,53,351,lmcount,,289,196,41,52,0,,,,,,
Minecraft-Regular,p-003-003-003-003,LMCOUNT,0.0063,34,299,lmcount,,197,131,33,33,0,,,,,,
Minecraft-Regular,p-003-003-003-003,LMCOUNT-update,0.0075,34,236,lmcount,,197,131,33,33,0,,,,,,
Minecraft-Regular,p-5-5-5-06,LMCOUNT,0.0285,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-06,LMCOUNT-update,0.0335,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-004-004-004-004,LMCOUNT,0.0142,65,515,lmcount,,340,233,43,64,0,,,,,,
Minecraft-Regular,p-004-004-004-004,LMCOUNT-update,0.0168,65,411,lmcount,,340,233,43,64,0,,,,,,
Minecraft-Regular,p-5-5-5-10,LMCOUNT,0.0444,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-5-5-5-10,LMCOUNT-update,0.0474,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-003-004-003-004,LMCOUNT,0.0085,43,353,lmcount,,233,158,33,42,0,,,,,,
Minecraft-Regular,p-003-004-003-004,LMCOUNT-update,0.0102,43,281,lmcount,,233,158,33,42,0,,,,,,
Minecraft-Regular,p-005-005-005-005,LMCOUNT,0.0374,106,791,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-005-005-005-005,LMCOUNT-update,0.0339,106,636,lmcount,,523,365,53,105,0,,,,,,
Minecraft-Regular,p-004-005-005-005,LMCOUNT,0.0229,91,700,lmcount,,460,319,51,90,0,,,,,,
Minecraft-Regular,p-004-005-005-005,LMCOUNT-update,0.0267,91,561,lmcount,,460,319,51,90,0,,,,,,
Monroe-Fully-Observable,pfile02,LMCOUNT,22.491,15,62105,lmcount,,357,7,1,349,0,,,,,,
Monroe-Fully-Observable,pfile02,LMCOUNT-update,28.0314,15,50070,lmcount,,357,7,1,349,0,,,,,,
Monroe-Fully-Observable,pfile03,LMCOUNT,25.2451,10,262669,lmcount,,345,2,1,342,0,,,,,,
Monroe-Fully-Observable,pfile03,LMCOUNT-update,27.8921,10,50282,lmcount,,345,2,1,342,0,,,,,,
Monroe-Fully-Observable,pfile04,LMCOUNT,14.7454,2,29926,lmcount,,356,2,1,353,0,,,,,,
